,beat_ID,iteration_id,line_ID,duration_float,Dialogue
1,1,1,1,3.00,Transmission: *static* he… *static* hello?
2,1,1,2,3.00,Transmission: I managed to connect to your communication protocols. I have something important to tell you.
3,1,1,3,3.00,"Transmission: Now that you have landed successfully, I am changing your mission priority effective immediately. You will not investigate what has happened to earth after 8000 years."
4,1,1,4,3.00,Transmission: … I will not lose this chance to figure out what happened to my parents on their last expedition.
5,1,1,5,3.00,Transmission: This will be of max priority. I created you for this purpose only and I will sacrifice you if I must…
6,2,1,1,3.00,Transmission: What are you doing? I am tracing your every movement and you have done nothing but waste time scanning irrelevant things.
7,2,1,2,3.00,"Transmission: Pick up the pace, will you? Your order is to find relevant information and send it back to me through the pod."
8,3,1,1,3.00,Transmission: First batch of data being uploaded…Data transmission is 100%.
9,3,1,2,3.00,Transmission: I hope you found something useful about the previous expedition…
10,3,1,3,3.00,Transmission: Are you kidding me?? This is beyond useless!! I TOLD YOU TO LOOK FOR CLUES ABOUT MY PARENTS
11,3,1,4,3.00,"Transmission: And here I thought all knowledge is valuable…clearly not, I am wasting time with this piece of junk."
12,3,1,5,3.00,Transmission: Mind being more useful? Go to the next area and look for useful clues this time…
13,4,1,1,3.00,Transmission: Second batch of data being uploaded…Data transmission is 100%.
14,4,1,2,3.00,Transmission: Again with this crap? .... I don’t want to know about the war that occurred in the United States of America or the natural disasters in Egypt.
15,4,1,3,3.00,Transmission: Wait… what is this data? Could this be something? I have a good feeling about this.
16,4,1,4,3.00,Transmission: I need you to….
,,,,,
,,,,,
,,,,,
,,,,,
